date,city,hpi
2012-12-31,Kanpur,117.0
2012-12-31,Kanpur,92.831620101916
2013-03-31,Kanpur,90.869090643561
2013-03-31,Kanpur,116.9
2013-06-30,Kanpur,82.368580742936
2013-09-30,Kanpur,92.027102170737
2013-12-31,Kanpur,81.630455707108
2014-03-31,Kanpur,78.352653588996
2014-06-30,Kanpur,99.4
2014-09-30,Kanpur,101.8
2014-12-31,Kanpur,106.972009678697
2015-03-31,Kanpur,113.536664242022
2015-06-30,Kanpur,104.290398173078
2015-09-30,Kanpur,110.380082819943
2015-12-31,Kanpur,115.143288977353
2016-03-31,Kanpur,111.599587687848
2016-06-30,Kanpur,112.996644154771
2016-09-30,Kanpur,107.788207672214
2016-12-31,Kanpur,120.865861165549
2017-03-31,Kanpur,130.824196107321
2017-06-30,Kanpur,133.531875965512
2017-09-30,Kanpur,144.688084527889
2017-12-31,Kanpur,149.086031578383
2018-03-31,Kanpur,152.347801809835
2018-06-30,Kanpur,148.684272643149
2018-09-30,Kanpur,140.322499679628
2018-12-31,Kanpur,154.915233675867
2019-03-31,Kanpur,150.08745195212
2019-06-30,Kanpur,164.85580239475
2019-09-30,Kanpur,166.0
2019-12-31,Kanpur,171.4
2020-03-31,Kanpur,172.5
2020-06-30,Kanpur,170.389700041475
2020-09-30,Kanpur,171.138591483349
2020-12-31,Kanpur,170.533609692863
2021-03-31,Kanpur,171.3
2021-06-30,Kanpur,169.2
2021-09-30,Kanpur,171.049584631439
2021-12-31,Kanpur,170.23
2022-03-31,Kanpur,171.987271051666
2022-06-30,Kanpur,173.256322111741
2022-09-30,Kanpur,174.902335663624
2022-12-31,Kanpur,176.073659398725
2023-03-31,Kanpur,178.818610112052
2023-06-30,Kanpur,177.67348916541
2023-09-30,Kanpur,184.866682902015
2023-12-31,Kanpur,179.881664646772
2024-03-31,Kanpur,181.99658822377
2024-06-30,Kanpur,184.858619132663
2024-09-30,Kanpur,181.203911917184
2024-12-31,Kanpur,180.015262944255
2025-03-31,Kanpur,179.068541311583
,Kanpur,
,Kanpur,
,Kanpur,
,Kanpur,
,Kanpur,
,Kanpur,
,Kanpur,
2009-03-31,Kolkata,100.0
2009-06-30,Kolkata,100.7
2009-09-30,Kolkata,107.2
2009-12-31,Kolkata,110.9
2010-03-31,Kolkata,107.5
2010-06-30,Kolkata,116.9
2010-06-30,Kolkata,89.611742854129
2010-09-30,Kolkata,92.376464351186
2010-09-30,Kolkata,156.2
2010-12-31,Kolkata,161.2
2010-12-31,Kolkata,113.849678801077
2011-03-31,Kolkata,171.9
2011-03-31,Kolkata,104.162113993608
2011-06-30,Kolkata,157.0
2011-06-30,Kolkata,120.865986427078
2011-09-30,Kolkata,104.950787188201
2011-09-30,Kolkata,159.0
2011-12-31,Kolkata,155.0
2011-12-31,Kolkata,103.051800030747
2012-03-31,Kolkata,158.4
2012-03-31,Kolkata,97.825285137321
2012-06-30,Kolkata,204.2
2012-06-30,Kolkata,98.821186646755
2012-09-30,Kolkata,127.508787612825
2012-09-30,Kolkata,226.9
2012-12-31,Kolkata,247.3
2012-12-31,Kolkata,136.450543338773
2013-03-31,Kolkata,124.201190512486
2013-03-31,Kolkata,258.6
2013-06-30,Kolkata,127.032028499752
2013-09-30,Kolkata,161.579702975752
2013-12-31,Kolkata,189.355675676627
2014-03-31,Kolkata,166.221603291706
2014-06-30,Kolkata,166.9
2014-09-30,Kolkata,184.2
2014-12-31,Kolkata,180.935117964054
2015-03-31,Kolkata,179.688230146225
2015-06-30,Kolkata,172.638899516408
2015-09-30,Kolkata,170.959159951394
2015-12-31,Kolkata,184.627537704214
2016-03-31,Kolkata,169.836610323541
2016-06-30,Kolkata,199.742526938767
2016-09-30,Kolkata,191.729031305536
2016-12-31,Kolkata,182.64993465017
2017-03-31,Kolkata,208.217017536804
2017-06-30,Kolkata,189.094686675317
2017-09-30,Kolkata,227.441749089604
2017-12-31,Kolkata,231.275574601945
2018-03-31,Kolkata,257.130386766914
2018-06-30,Kolkata,266.957611093068
2018-09-30,Kolkata,274.693004668533
2018-12-31,Kolkata,297.975586343529
2019-03-31,Kolkata,307.334327411709
2019-06-30,Kolkata,287.670217113469
2019-09-30,Kolkata,278.991756900517
2019-12-31,Kolkata,280.6
2020-03-31,Kolkata,264.973880037485
2020-06-30,Kolkata,271.521090446042
2020-09-30,Kolkata,270.12832704791
2020-12-31,Kolkata,258.906154610197
2021-03-31,Kolkata,286.216113153773
2021-06-30,Kolkata,287.317554118313
2021-09-30,Kolkata,297.215512786225
2021-12-31,Kolkata,310.14355840527
2022-03-31,Kolkata,307.43658340781
2022-06-30,Kolkata,326.346494181699
2022-09-30,Kolkata,330.304973477654
2022-12-31,Kolkata,332.285445537209
2023-03-31,Kolkata,333.386459570137
2023-06-30,Kolkata,327.453299599889
2023-09-30,Kolkata,330.316200687079
2023-12-31,Kolkata,334.409380552451
2024-03-31,Kolkata,338.883225963778
2024-06-30,Kolkata,345.477582196539
2024-09-30,Kolkata,335.652421668499
2024-12-31,Kolkata,337.839020336605
2025-03-31,Kolkata,331.142080583108
,Kolkata,
,Kolkata,
,Kolkata,
,Kolkata,
,Kolkata,
,Kolkata,
,Kolkata,
2009-03-31,Lucknow,100.0
2009-06-30,Lucknow,103.7
2009-09-30,Lucknow,118.6
2009-12-31,Lucknow,116.7
2010-03-31,Lucknow,112.5
2010-06-30,Lucknow,116.9
2010-06-30,Lucknow,77.879137780952
2010-09-30,Lucknow,103.191572645676
2010-09-30,Lucknow,128.5
2010-12-31,Lucknow,136.9
2010-12-31,Lucknow,106.617769127382
2011-03-31,Lucknow,140.3
2011-03-31,Lucknow,112.31152044599
2011-06-30,Lucknow,149.3
2011-06-30,Lucknow,103.030473892551
2011-09-30,Lucknow,105.019951271479
2011-09-30,Lucknow,159.2
2011-12-31,Lucknow,172.3
2011-12-31,Lucknow,103.157874097549
2012-03-31,Lucknow,169.7
2012-03-31,Lucknow,106.094788818139
2012-06-30,Lucknow,179.4
2012-06-30,Lucknow,135.211415891856
2012-09-30,Lucknow,149.077140227861
2012-09-30,Lucknow,208.9
2012-12-31,Lucknow,221.6
2012-12-31,Lucknow,162.507541300652
2013-03-31,Lucknow,169.40634474607
2013-03-31,Lucknow,218.8
2013-06-30,Lucknow,171.805694624143
2013-09-30,Lucknow,173.542470145863
2013-12-31,Lucknow,168.193157412986
2014-03-31,Lucknow,169.780931738413
2014-06-30,Lucknow,194.0
2014-09-30,Lucknow,209.3
2014-12-31,Lucknow,210.770727910716
2015-03-31,Lucknow,224.919949941774
2015-06-30,Lucknow,231.100343159795
2015-09-30,Lucknow,224.087351434675
2015-12-31,Lucknow,224.091584659871
2016-03-31,Lucknow,222.284492332283
2016-06-30,Lucknow,234.863941921423
2016-09-30,Lucknow,231.886908577256
2016-12-31,Lucknow,240.186315877297
2017-03-31,Lucknow,242.347326167879
2017-06-30,Lucknow,251.42743504757
2017-09-30,Lucknow,248.186472479795
2017-12-31,Lucknow,253.35371773327
